"path","sha256","first_seen","last_modified"
"contentlog.csv","f91c4a6f88277a211fd7bda032b76398fabfcbcae48ae088b9e600eff44c3c97","2023-10-26 15:18:20.707268","2023-10-26 15:26:56.704061"
"README.md","5fac172e8a5e2adcf73c39b4c27b17735927a5d129e6fa32f373b9ee25996132","2023-10-26 15:18:20.707268","2023-10-26 15:18:20.707268"
"sync.sh","a41048b28c0f726e88e48c45170141f5e198bdacd13b33aa516e24f0d6b1355c","2023-10-26 15:18:20.707268","2023-10-26 15:18:20.707268"
"SplunkContent/detections/web/cisco_ios_xe_implant_access.yml","48de0514f2a693db63c34cf8960d959ca4cca5d3ef01e55a75731c984b6aa81d","2023-10-26 15:18:20.707268","2023-10-26 15:18:20.707268"
"SplunkContent/detections/web/confluence_cve_2023_22515_trigger_vulnerability.yml","22dd28076eb18cf4d1c1c82a029f7d7975f7e61761b9191a4a77210aa65b778d","2023-10-26 15:18:20.707268","2023-10-26 15:18:20.707268"
"SplunkContent/detections/web/confluence_data_center_and_server_privilege_escalation.yml","e849f1725f72c83fedd16e005c12a80c34bca36a7b14ad7da3d0f22d716386fa","2023-10-26 15:18:20.707268","2023-10-26 15:18:20.707268"
"SplunkContent/detections/web/detect_malicious_requests_to_exploit_jboss_servers.yml","786b3321f9a553beec9a3da988fcea7fcd3df77bc733246c7f0f90fcead5950d","2023-10-26 15:18:20.707268","2023-10-26 15:18:20.707268"
"SplunkContent/detections/web/exploit_public_facing_fortinet_fortinac_cve_2022_39952.yml","2832fb437dd8b6ab1fbbd72385c888afdacc6473644109cf704c510322478027","2023-10-26 15:18:20.707268","2023-10-26 15:18:20.707268"
"SplunkContent/detections/web/exploit_public_facing_application_via_apache_commons_text.yml","7f43fd0e3a7985a6fb2c3e8bf6715a63b55f9a1d437d94f7c612ca62a0dee25d","2023-10-26 15:18:20.707268","2023-10-26 15:18:20.707268"
"SplunkContent/detections/web/supernova_webshell.yml","55ef41648d8156396809e14ab7e6eb4d313a99512ad60de1bed2e5d18d1dafab","2023-10-26 15:18:20.707268","2023-10-26 15:18:20.707268"
"SplunkContent/detections/web/detect_attackers_scanning_for_vulnerable_jboss_servers.yml","5c1e09d44ad4bfd5b78504d52e55e71e68ae041fef701f06ce48039cd8ef36b2","2023-10-26 15:18:20.707268","2023-10-26 15:18:20.707268"
"SplunkContent/detections/web/windows_exchange_autodiscover_ssrf_abuse.yml","e5cde4603fad4a256bc2b0e5e87d4b7f01d397b5a4db27ed9e9693d1aca59d1c","2023-10-26 15:18:20.707268","2023-10-26 15:18:20.707268"
