"created","modified","file"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000",".github/workflows/sync.yml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/README.md"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/apm_null_user_agent.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/command_and_control_connection_attempt_by_non_ssh_root_session.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/command_and_control_dns_directly_to_the_internet.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/command_and_control_ftp_file_transfer_protocol_activity_to_the_internet.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/command_and_control_irc_internet_relay_chat_protocol_activity_to_the_internet.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/command_and_control_port_8000_activity_to_the_internet.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/command_and_control_pptp_point_to_point_tunneling_protocol_activity.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/command_and_control_proxy_port_activity_to_the_internet.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/command_and_control_smtp_to_the_internet.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/command_and_control_sql_server_port_activity_to_the_internet.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/command_and_control_ssh_secure_shell_from_the_internet.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/command_and_control_ssh_secure_shell_to_the_internet.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/command_and_control_tor_activity_to_the_internet.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/credential_access_potential_linux_ssh_bruteforce_root.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/credential_access_tcpdump_activity.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/defense_evasion_attempt_to_disable_iptables_or_firewall.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/defense_evasion_base64_encoding_or_decoding_activity.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/defense_evasion_code_injection_conhost.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/defense_evasion_execution_via_trusted_developer_utilities.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/defense_evasion_hex_encoding_or_decoding_activity.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/defense_evasion_mshta_making_network_connections.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/defense_evasion_whitespace_padding_in_command_line.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/discovery_file_dir_discovery.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/discovery_process_discovery_via_tasklist_command.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/discovery_query_registry_via_reg.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/discovery_whoami_commmand.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_apt_binary.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_awk_binary_shell.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_busybox_binary.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_c89_c99_binary.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_command_shell_started_by_powershell.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_cpulimit_binary.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_crash_binary.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_env_binary.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_expect_binary.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_find_binary.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_flock_binary.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_gcc_binary.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_linux_process_started_in_temp_directory.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_mysql_binary.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_reverse_shell_via_named_pipe.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_ssh_binary.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_vi_binary.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/execution_via_net_com_assemblies.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/exfiltration_rds_snapshot_export.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/initial_access_login_failures.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/initial_access_login_location.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/initial_access_login_sessions.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/initial_access_login_time.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/initial_access_rdp_remote_desktop_protocol_to_the_internet.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/linux_mknod_activity.toml"
"2023-10-17 10:10:28 +0000","2023-10-17 10:10:28 +0000","ElasticContent/detections/_deprecated/linux_nmap_activity.toml"
